NCM;inicio_vigencia;fim_vigencia;uTrib_abreviatura;Descricao_uTrib;
01012100;01/01/2016;;UN;Unidade;
01012900;01/01/2016;;UN;Unidade;
01013000;01/01/2016;;UN;Unidade;
01019000;01/01/2016;;UN;Unidade;
01022110;01/01/2016;;UN;Unidade;
01022190;01/01/2016;;UN;Unidade;
01022911;01/01/2016;;UN;Unidade;
01022919;01/01/2016;;UN;Unidade;
01022990;01/01/2016;;UN;Unidade;
01023110;01/01/2016;;UN;Unidade;
01023190;01/01/2016;;UN;Unidade;
01023911;01/01/2016;;UN;Unidade;
01023919;01/01/2016;;UN;Unidade;
01023990;01/01/2016;;UN;Unidade;
01029000;01/01/2016;;UN;Unidade;
01031000;01/01/2016;;UN;Unidade;
01039100;01/01/2016;;UN;Unidade;
01039200;01/01/2016;;UN;Unidade;
01041011;01/01/2016;;UN;Unidade;
01041019;01/01/2016;;UN;Unidade;
01041090;01/01/2016;;UN;Unidade;
01042010;01/01/2016;;UN;Unidade;
01042090;01/01/2016;;UN;Unidade;
01051110;01/01/2016;;UN;Unidade;
01051190;01/01/2016;;UN;Unidade;
01051200;01/01/2016;;UN;Unidade;
01051300;01/01/2016;;UN;Unidade;
01051400;01/01/2016;;UN;Unidade;
01051500;01/01/2016;;UN;Unidade;
01059400;01/01/2016;;UN;Unidade;
01059900;01/01/2016;;UN;Unidade;
01061100;01/01/2016;;UN;Unidade;
01061200;01/01/2016;;UN;Unidade;
01061300;01/01/2016;;UN;Unidade;
01061400;01/01/2016;;UN;Unidade;
01061900;01/01/2016;;UN;Unidade;
01062000;01/01/2016;;UN;Unidade;
01063100;01/01/2016;;UN;Unidade;
01063200;01/01/2016;;UN;Unidade;
01063310;01/01/2016;;UN;Unidade;
01063390;01/01/2016;;UN;Unidade;
01063900;01/01/2016;;UN;Unidade;
01064100;01/01/2016;;KG;Quilograma;
01064900;01/01/2016;;KG;Quilograma;
01069000;01/01/2016;;UN;Unidade;
02011000;01/01/2016;;KG;Quilograma;
02012010;01/01/2016;;KG;Quilograma;
02012020;01/01/2016;;KG;Quilograma;
02012090;01/01/2016;;KG;Quilograma;
02013000;01/01/2016;;KG;Quilograma;
02021000;01/01/2016;;KG;Quilograma;
02022010;01/01/2016;;KG;Quilograma;
02022020;01/01/2016;;KG;Quilograma;
02022090;01/01/2016;;KG;Quilograma;
02023000;01/01/2016;;KG;Quilograma;
02031100;01/01/2016;;KG;Quilograma;
02031200;01/01/2016;;KG;Quilograma;
02031900;01/01/2016;;KG;Quilograma;
02032100;01/01/2016;;KG;Quilograma;
02032200;01/01/2016;;KG;Quilograma;
02032900;01/01/2016;;KG;Quilograma;
02041000;01/01/2016;;KG;Quilograma;
02042100;01/01/2016;;KG;Quilograma;
02042200;01/01/2016;;KG;Quilograma;
02042300;01/01/2016;;KG;Quilograma;
02043000;01/01/2016;;KG;Quilograma;
02044100;01/01/2016;;KG;Quilograma;
02044200;01/01/2016;;KG;Quilograma;
02044300;01/01/2016;;KG;Quilograma;
02045000;01/01/2016;;KG;Quilograma;
02050000;01/01/2016;;KG;Quilograma;
02061000;01/01/2016;;KG;Quilograma;
02062100;01/01/2016;;KG;Quilograma;
02062200;01/01/2016;;KG;Quilograma;
02062910;01/01/2016;;KG;Quilograma;
02062990;01/01/2016;;KG;Quilograma;
02063000;01/01/2016;;KG;Quilograma;
02064100;01/01/2016;;KG;Quilograma;
02064900;01/01/2016;;KG;Quilograma;
02068000;01/01/2016;;KG;Quilograma;
02069000;01/01/2016;;KG;Quilograma;
02071100;01/01/2016;;KG;Quilograma;
02071200;01/01/2016;31/03/2023;KG;Quilograma;
02071210;01/04/2023;;KG;Quilograma;
02071220;01/04/2023;;KG;Quilograma;
02071300;01/01/2016;;KG;Quilograma;
02071400;01/01/2016;;KG;Quilograma;
02072400;01/01/2016;;KG;Quilograma;
02072500;01/01/2016;;KG;Quilograma;
02072600;01/01/2016;;KG;Quilograma;
02072700;01/01/2016;;KG;Quilograma;
02074100;01/01/2016;;KG;Quilograma;
02074200;01/01/2016;;KG;Quilograma;
02074300;01/01/2016;;KG;Quilograma;
02074400;01/01/2016;;KG;Quilograma;
02074500;01/01/2016;;KG;Quilograma;
02075100;01/01/2016;;KG;Quilograma;
02075200;01/01/2016;;KG;Quilograma;
02075300;01/01/2016;;KG;Quilograma;
02075400;01/01/2016;;KG;Quilograma;
02075500;01/01/2016;;KG;Quilograma;
02076000;01/01/2016;;KG;Quilograma;
02081000;01/01/2016;;KG;Quilograma;
02083000;01/01/2016;;KG;Quilograma;
02084000;01/01/2016;;KG;Quilograma;
02085000;01/01/2016;;KG;Quilograma;
02086000;01/01/2016;;KG;Quilograma;
02089000;01/01/2016;;KG;Quilograma;
02091011;01/01/2016;;KG;Quilograma;
02091019;01/01/2016;;KG;Quilograma;
02091021;01/01/2016;;KG;Quilograma;
02091029;01/01/2016;;KG;Quilograma;
02099000;01/01/2016;;KG;Quilograma;
02101100;01/01/2016;;KG;Quilograma;
02101200;01/01/2016;;KG;Quilograma;
02101900;01/01/2016;;KG;Quilograma;
02102000;01/01/2016;;KG;Quilograma;
02109100;01/01/2016;;KG;Quilograma;
02109200;01/01/2016;;KG;Quilograma;
02109300;01/01/2016;;KG;Quilograma;
02109911;01/07/2018;;KG;Quilograma;
02109919;01/07/2018;;KG;Quilograma;
02109920;01/07/2018;;KG;Quilograma;
02109930;01/07/2018;;KG;Quilograma;
02109940;01/07/2018;;KG;Quilograma;
02109990;01/07/2018;;KG;Quilograma;
03011110;01/01/2016;;UN;Unidade;
03011190;01/01/2016;;UN;Unidade;
03011900;01/01/2016;;UN;Unidade;
03019110;01/01/2016;;KG;Quilograma;
03019190;01/01/2016;;KG;Quilograma;
03019210;01/01/2016;;KG;Quilograma;
03019290;01/01/2016;;KG;Quilograma;
03019310;01/01/2016;;KG;Quilograma;
03019390;01/01/2016;;KG;Quilograma;
03019410;01/01/2016;;KG;Quilograma;
03019490;01/01/2016;;KG;Quilograma;
03019510;01/01/2016;;KG;Quilograma;
03019590;01/01/2016;;KG;Quilograma;
03019911;01/01/2016;;KG;Quilograma;
03019912;01/01/2016;;KG;Quilograma;
03019919;01/01/2016;;KG;Quilograma;
03019991;01/01/2016;;KG;Quilograma;
03019992;01/01/2016;;KG;Quilograma;
03019999;01/01/2016;;KG;Quilograma;
03021100;01/01/2016;;KG;Quilograma;
03021300;01/01/2016;;KG;Quilograma;
03021400;01/01/2016;;KG;Quilograma;
03021900;01/01/2016;;KG;Quilograma;
03022100;01/01/2016;;KG;Quilograma;
03022200;01/01/2016;;KG;Quilograma;
03022300;01/01/2016;;KG;Quilograma;
03022400;01/01/2016;;KG;Quilograma;
03022900;01/01/2016;;KG;Quilograma;
03023100;01/01/2016;;KG;Quilograma;
03023200;01/01/2016;;KG;Quilograma;
03023300;01/01/2016;;KG;Quilograma;
03023400;01/01/2016;;KG;Quilograma;
03023500;01/01/2016;;KG;Quilograma;
03023600;01/01/2016;;KG;Quilograma;
03023900;01/01/2016;;KG;Quilograma;
03024100;01/01/2016;;KG;Quilograma;
03024210;01/01/2016;;KG;Quilograma;
03024290;01/01/2016;;KG;Quilograma;
03024300;01/01/2016;;KG;Quilograma;
03024400;01/01/2016;;KG;Quilograma;
03024500;01/01/2016;;KG;Quilograma;
03024600;01/01/2016;;KG;Quilograma;
03024700;01/01/2016;;KG;Quilograma;
03024910;01/01/2017;;KG;Quilograma;
03024990;01/01/2017;;KG;Quilograma;
03025100;01/01/2016;;KG;Quilograma;
03025200;01/01/2016;;KG;Quilograma;
03025300;01/01/2016;;KG;Quilograma;
03025400;01/01/2016;;KG;Quilograma;
03025500;01/01/2016;;KG;Quilograma;
03025600;01/01/2016;;KG;Quilograma;
03025900;01/01/2016;;KG;Quilograma;
03027100;01/01/2016;;KG;Quilograma;
